datetime,open,high,low,close,volume,Name
06-09-2017,987,1007.95,980.05,996.15,1738140,KOTAKBANK
07-09-2017,999,1004.7,988.2,993.5,1514770,KOTAKBANK
08-09-2017,996,1010.8,991.55,1007.55,2076538,KOTAKBANK
11-09-2017,1010,1015,1001.1,1006.5,1323918,KOTAKBANK
12-09-2017,1012,1024.55,1007.15,1021.75,1649509,KOTAKBANK
13-09-2017,1022,1025.1,1015.6,1020.15,1110777,KOTAKBANK
14-09-2017,1021.8,1026.45,1002.4,1007.6,1484086,KOTAKBANK
15-09-2017,1007.9,1011.7,997.5,1005.05,5328496,KOTAKBANK
18-09-2017,1007.5,1024.95,1007.5,1017.05,939378,KOTAKBANK
19-09-2017,1020,1045.4,1015.6,1034.35,1976618,KOTAKBANK
20-09-2017,1034.5,1036.95,1020.25,1023.2,1971092,KOTAKBANK
21-09-2017,1022,1037,1020,1029.15,923961,KOTAKBANK
22-09-2017,1024.75,1031,1019,1021.9,1845956,KOTAKBANK
25-09-2017,1021,1021.7,995,999.5,1856601,KOTAKBANK
26-09-2017,1001,1007.5,990.4,994,1337633,KOTAKBANK
27-09-2017,997.5,1005.05,977,979.6,2040885,KOTAKBANK
28-09-2017,982.5,1014.6,968,1005.25,5808078,KOTAKBANK
29-09-2017,1014,1015,998.4,1002.25,1660433,KOTAKBANK
03-10-2017,1006.1,1010,995.15,1006.55,2133107,KOTAKBANK
04-10-2017,1008.6,1037.2,1008.6,1029.45,2255784,KOTAKBANK
05-10-2017,1029,1037.25,1020.25,1032.8,1396989,KOTAKBANK
06-10-2017,1032,1043.15,1028.65,1039.5,1065953,KOTAKBANK
09-10-2017,1037.1,1053.8,1035.1,1049.95,1546184,KOTAKBANK
10-10-2017,1052.95,1061,1044.4,1055.65,1602617,KOTAKBANK
11-10-2017,1056.75,1057.15,1038.2,1043.85,1329360,KOTAKBANK
12-10-2017,1043.3,1062.5,1038,1057.6,1176721,KOTAKBANK
13-10-2017,1058,1088.8,1052.5,1082.35,1755115,KOTAKBANK
16-10-2017,1082.35,1098.7,1077.9,1082.5,2574204,KOTAKBANK
17-10-2017,1082.5,1087.5,1072.1,1078.6,1678738,KOTAKBANK
